Názov,Autor,Žáner,,Link
365 dní,Blanka Lipińska,Erotické romány,                                                                            ,         https://link.michaldudas.com/0g3HKL
60 dní k novej postave,Kolektív autorov,Šport,Hobby a voľný čas                                                     ,         https://link.michaldudas.com/VQakLL
Ako postaviť monopost F1,Adrian Newey,Biografie ,Šport                                                              ,         https://link.michaldudas.com/H2Npxz
Ako skala,Dani Pettrey,Dobrodružné ,                                                                                ,         https://link.michaldudas.com/e5917X
Ako umiera demokracia,Benjamin Carter Hett,Reportáže a rozhovory ,Politika,https://link.michaldudas.com/6cXJYH
Ako uvažuje Steve Jobs,Leander Kahney,Informatika a počítače ,                                                      ,         https://link.michaldudas.com/D4c9Oh
Ako uvažujú Larry Page,Richard L. Brandt,Informatika a počítače ,                                                   ,         https://link.michaldudas.com/vSJGTR
Akty X Tieseň,Ellen Steiber,Sci-fi ,Trilery                                                                         ,         https://link.michaldudas.com/4Rtf4B
Akty X Tiger-tiger!,Les Martin,Sci-fi ,Trilery                                                                      ,         https://link.michaldudas.com/NLhxA3
Ale ja nechcem!,Susanne Mierau,Rodina ,                                                                             ,         https://link.michaldudas.com/PVWRaz
Alex Ferguson - Můj příběh,Alex Ferguson,Biografie ,Šport                                                           ,         https://link.michaldudas.com/9iISPq
Anjelský prach,Barbora Jankovičová,Romány a novely,                                                                 ,         https://link.michaldudas.com/rO3Ghh
Atentát na nežnú revolúciu,Vladimír Ondruš,Politika,                                                                ,         https://link.michaldudas.com/gD8FtC
Barca,Graham Hunter,Šport,                                                                                          ,         https://link.michaldudas.com/v5cTBv
Barca - Stvorenie futbalového zázraku,Graham Hunter,Šport,                                                          ,         https://link.michaldudas.com/cmmVCq
Beatrice,Lina Bengtsdotter,Krimi a detektívky ,,https://link.michaldudas.com/0eGc14
Beh ťa zmení,Angelika Kutišová,Šport,Hobby a voľný čas,https://link.michaldudas.com/6LbOTa
Bez rozlúčky,Samantha Young,Romantika ,                                                                             ,         https://link.michaldudas.com/Wjgs6W
Beznádejná,Colleen Hoover,Romantika ,                                                                               ,         https://link.michaldudas.com/dOzymN
Boj o čas,Patrick Lee,Trilery ,Krimi a detektívky                                                                   ,         https://link.michaldudas.com/QTv5sm
Bombardovacia mafia,Malcolm Gladwell,História,Odborné,https://link.michaldudas.com/sjUtMl
Brave New World,Aldous Huxley,Dobrodružné ,Romány a novely                                                          ,         https://link.michaldudas.com/cHvJqk
Bublina,Anders de la Motte,Krimi a detektívky ,                                                                     ,         https://link.michaldudas.com/mVZrDA
Buď so mnou,Jennifer L. Armentrout,Romantika , Romány a novely, https://link.michaldudas.com/NHGtFi
Čas anjelov,Anne Rice,Romantika ,                                                                                   ,         https://link.michaldudas.com/pqzl7O
Chlapi na zbláznenie,Ivana Ondriová,Romantika ,                                                                     ,         https://link.michaldudas.com/qTz0el
Chobotnička,Miro Hrubjak,Trilery ,Informatika a počítače                                                            ,         https://link.michaldudas.com/4kF8mX
Chodba hrôzy,Andrea Rimová,Trilery ,                                                                                ,         https://link.michaldudas.com/nieAX4
Daj si pozor na želania,Alexandra Potter,Romantika ,                                                                ,         https://link.michaldudas.com/BXdeKA
Dublin Street,Samantha Young,Romantika ,Erotické romány                                                             ,         https://link.michaldudas.com/rv7Wfm
Dýchej za mě,Maya Banks,Romantika ,                                                                                 ,         https://link.michaldudas.com/OJIcgb
Džentlmen a milenka,Cecilia Grant,Romány a novely,                                                                  ,         https://link.michaldudas.com/rlAgch
Encyklopédia Formuly 1,Bruce Jones,Šport,Hobby a voľný čas,https://link.michaldudas.com/qOwETX
Exit Havana,Maya Reyes,Romantika ,                                                                                  ,         https://link.michaldudas.com/72H0If
Fit za 15 minút denne,Zuzka Light - Jeff O'Connell,Šport,Hobby a voľný čas                                          ,         https://link.michaldudas.com/nuwHDI
For Whom the Bell Tolls,Ernest Hemingway,Romány a novely,                                                           ,         https://link.michaldudas.com/9rulnh
Futbalový dekameron, Ján Fekete, Šport,Hobby a voľný čas,
Gentlemani,Klas Östergren,Romány a novely,                                                                          ,         https://link.michaldudas.com/UBLESO
Gorila,Tom Nicholson,Reportáže a rozhovory ,Politika                                                                ,         https://link.michaldudas.com/MLbGUw
Hirošima,John Hersey,Biografie,,https://link.michaldudas.com/5VhixK
Hitler: Posadnutý túžbou ovládnuť svet,Simms Brendan,Biografie,Politika                                             ,         https://link.michaldudas.com/yJQjyo
Hledání ultra,Rich Roll,Šport,Hobby a voľný čas                                                                     ,         https://link.michaldudas.com/lEZ5IH
Hra,Anders de la Motte,Trilery ,Krimi a detektívky                                                                  ,         https://link.michaldudas.com/C5DZqa
Hra sa skončila,Martin Hanus,Romány a novely,Politika                                                               ,         https://link.michaldudas.com/B7sNax
Hry o život,Suzanne Collins,Sci-fi ,                                                                                ,         https://link.michaldudas.com/hEed15
India Place,Samantha Young,Romantika ,Erotické romány                                                               ,         https://link.michaldudas.com/swrOHK
Indická princezná,Javier Moro,Romány a novely,Romantika                                                             ,         https://link.michaldudas.com/Wz4dpn
Izba plná spomienok,Andrea Boldišová,Romantika ,Krimi a detektívky                                                  ,         https://link.michaldudas.com/pys0dZ
Ja to vidím inakšie- miláčik!,Nataša Tanská,Rodina ,                                                                ,         https://link.michaldudas.com/TqTtSo
Jamaica Lane,Samantha Young,Romantika ,Erotické romány                                                              ,         https://link.michaldudas.com/OqLCq2
Jony Ive – Geniálny dizajnér z Apple,Leander Kahney,Informatika a počítače ,Biografie                               ,         https://link.michaldudas.com/AxWpGg
Keď som ťa stretla,Cecelia Ahern,Romantika ,                                                                        ,         https://link.michaldudas.com/XSURpW
Kóma,Robin Cook,Romány a novely,                                                                                    ,         https://link.michaldudas.com/CRYzmu
Koniec sa blíži,Ben H. Winters,,                                                                                    ,         https://link.michaldudas.com/wLV8mK
Kosti na prach,Kathy Reichs,Krimi a detektívky ,                                                                    ,         https://link.michaldudas.com/YMkAEO
Krajina hrubých čiar,Ľuba Lesná,Reportáže a rozhovory ,Politika                                                     ,         https://link.michaldudas.com/v2GjpH
Krátky pád,Matthew Fitzsimmons,Trilery ,Krimi a detektívky    ,https://link.michaldudas.com/Cmsr8f
Krvavé stopy,Angela Marsons,Krimi a detektívky ,Trilery                                                             ,         https://link.michaldudas.com/z2knRg
Kuchárska kniha na víkend,Zdenka Horecká - Vladimír Horecký,Hobby a voľný čas,                                      ,         https://link.michaldudas.com/KlQFsl
Kult,Emma Cline,Trilery ,                                                                                           ,         https://link.michaldudas.com/zfKeoo
Lásky vojnového zajatca,Jozef Valiska,Romány a novely,                                                              ,         https://link.michaldudas.com/R5z3Qt
Ľavá ruka Boha,Paul Hoffman,Fantasy ,                                                                               ,         https://link.michaldudas.com/6qjbjA
Layla,Colleen Hoover,Romány a novely,                                                                               ,         https://link.michaldudas.com/s2nV3u
Lepší život,Anna Gavalda,,                                                                                          ,         https://link.michaldudas.com/GcakDb
Liek,Arthur Hailey,,                                                                                                ,         https://link.michaldudas.com/iztvXe
London Road,Samantha Young,Romantika ,Erotické romány                                                               ,         https://link.michaldudas.com/4yWZ4Z
Madam X,Jasinda Wilder,Erotické romány ,                                                                            ,         https://link.michaldudas.com/UDJDrd
Madam X - Odhalenie,Jasinda Wilder,Erotické romány ,                                                                ,         https://link.michaldudas.com/Up9mik
Madam X - Vyhostenie,Jasinda Wilder,Erotické romány ,                                                               ,         https://link.michaldudas.com/sKMtUp
Mafia,Václav Pavel Borovička,Romány a novely,                                                                       ,         https://link.michaldudas.com/Lwxm13
Malá červená kniha o behaní,Scott Douglas,Šport,Hobby a voľný čas, https://link.michaldudas.com/KgtAU8
Malum – část druhá,Amo Jones,Trilery ,Romány a novely                                                               ,         https://link.michaldudas.com/FY6NcD
Malum – část první,Amo Jones,Trilery ,Romány a novely                                                               ,         https://link.michaldudas.com/hWjcDS
Mapa- ktorá vedie k tebe,J.P. Monninger,Romantika ,                                                                 ,         https://link.michaldudas.com/PSd6kz
Max Verstappen, James Gray,Biografie ,Šport ,https://link.michaldudas.com/0PGtsx
Mechanik,Marc Elvis Priestley,Biografie ,Šport                                                                      ,         https://link.michaldudas.com/waM4Z7
MemoRandom,Anders de la Motte,Trilery ,Krimi a detektívky                                                           ,         https://link.michaldudas.com/nNxxEN
Meno hviezdy,Maureen Johnson,Romantika ,                                                                            ,         https://link.michaldudas.com/KUqJcE
Messi,Luca Caioli,Biografie ,Šport                                                                                  ,         https://link.michaldudas.com/mB6ISN
Metelica,Vladimír Sorokin,Romány a novely,                                                                          ,         https://link.michaldudas.com/j5fMUz
Metóda Wima Hofa, Wim Hof,Biografie,,                                                                                         https://link.michaldudas.com/agHB5a
Mexická gotika,Silvia Moreno-Garcia,Trilery  ,,                                                                               https://link.michaldudas.com/ZDT3uO
Michael Schumacher,Karin Sturm,Biografie ,Šport                                                                     ,         https://link.michaldudas.com/BYCt9d
